date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:04	85377/85377	---M--	200	added ('OK')	image/jpeg	etag:%2214d81-63c82345-6de9df45d9a264f0;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-m-1.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-m-1.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:04	77488/77488	---M--	200	added ('OK')	image/jpeg	etag:%2212eb0-63c82345-3e92ad99e19895f9;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-11.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-11.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:05	85555/85555	---M--	200	added ('OK')	image/jpeg	etag:%2214e33-63c82345-708d30edc74a4e16;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-3.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/blog/blog-3.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:05	6435/6435	---M--	200	added ('OK')	image/png	etag:%221923-63c82345-a6701c4c48c1dc83;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/shape-slice-circle-2.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/shape-slice-circle-2.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-2.html)
15:29:06	15810/15810	---M--	200	added ('OK')	image/png	etag:%223dc2-63c82345-6d84772929106f62;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/cube-shape-2.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/cube-shape-2.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:06	14577/14577	---M--	200	added ('OK')	image/png	etag:%2238f1-63c82345-9e8bec75d5b6d067;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/cube-shape.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/cube-shape.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:06	5128/5128	---M--	200	added ('OK')	image/png	etag:%221408-63c82345-676dca2bc1e9ee37;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/border-dot.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/border-dot.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:06	8736/8736	---M--	200	added ('OK')	image/png	etag:%222220-63c82345-81958433089b352c;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/square-route.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/square-route.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:07	256831/256831	---M--	200	added ('OK')	image/jpeg	etag:%223eb3f-63c82345-a81f57cda17f4a6c;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/banner/banner-3-2.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/banner/banner-3-2.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:08	1614137/1614137	---M--	200	added ('OK')	video/mp4	etag:%2218a139-63c82346-46c94cb3eef8309c;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/video/home-3-slide-1.mp4	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/video/home-3-slide-1.mp4	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:08	36273/36273	---M--	200	added ('OK')	image/jpeg	etag:%228db1-63c82345-4fde8a1c96309aa1;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service13.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service13.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
